State,Year,Quarter,District,No_of_Regusers,No_of_AppOpen
gujarat,2019,2,sabar kantha district,123754,534999
gujarat,2019,2,tapi district,45441,189646
gujarat,2019,2,vadodara district,572031,2539174
gujarat,2019,2,banas kantha district,271379,1204053
gujarat,2019,2,amreli district,91819,339203
gujarat,2019,2,ahmadabad district,1656341,9405838
gujarat,2019,2,dohad district,52197,204285
gujarat,2019,2,navsari district,106244,417352
gujarat,2019,2,patan district,115299,552351
gujarat,2019,2,kachchh district,261458,1230320
gujarat,2019,2,surendranagar district,110431,409241
gujarat,2019,2,morbi district,90030,348075
gujarat,2019,3,anand district,226293,3576103
gujarat,2019,3,jamnagar district,154042,1899038
gujarat,2019,3,devbhumi dwarka district,49534,509421
gujarat,2019,3,rajkot district,384852,3993364
gujarat,2019,3,aravallis district,73003,1020958
gujarat,2019,3,chhotaudepur district,27128,329896
gujarat,2019,3,botad district,72181,991985
gujarat,2019,3,bharuch district,315856,4792841
gujarat,2019,3,bhavnagar district,255608,3293381
gujarat,2019,3,junagadh district,104847,969001
gujarat,2019,3,mahesana district,286652,4457337
gujarat,2019,3,the dangs district,8306,116253
gujarat,2019,3,kheda district,162956,2432770
gujarat,2019,3,surat district,1481391,21408636
gujarat,2019,3,porbandar district,36834,330737
gujarat,2019,3,gandhinagar district,372464,7433206
gujarat,2019,3,panch mahals district,102546,1338850
gujarat,2019,3,narmada district,25267,363436
gujarat,2019,3,gir somnath district,88366,860095
gujarat,2019,3,valsad district,266134,3902867
gujarat,2019,3,mahisagar district,40679,466958
gujarat,2019,3,sabar kantha district,138237,2021301
gujarat,2019,3,tapi district,51028,646547
gujarat,2019,3,vadodara district,637678,9548665
gujarat,2019,3,banas kantha district,301373,4487309
gujarat,2019,3,amreli district,101453,1176949
gujarat,2019,3,ahmadabad district,1848860,35854721
gujarat,2019,3,dohad district,59460,737968
gujarat,2019,3,navsari district,118324,1417853
gujarat,2019,3,patan district,128573,2225161
gujarat,2019,3,kachchh district,285519,4167209
gujarat,2019,3,surendranagar district,122518,1455000
gujarat,2019,3,morbi district,101337,1215668
gujarat,2019,4,anand district,252401,3905511
gujarat,2019,4,jamnagar district,171337,2227178
gujarat,2019,4,devbhumi dwarka district,55209,621177
gujarat,2019,4,rajkot district,426178,4545689
gujarat,2019,4,aravallis district,83136,1295090
gujarat,2019,4,chhotaudepur district,31338,429297
gujarat,2019,4,botad district,80499,1181335
gujarat,2019,4,bharuch district,350619,5971371
gujarat,2019,4,bhavnagar district,286520,4080547
gujarat,2019,4,junagadh district,117357,1216157
gujarat,2019,4,mahesana district,316985,5363608
gujarat,2019,4,the dangs district,9594,151581
gujarat,2019,4,kheda district,182669,2664051
gujarat,2019,4,surat district,1624077,23613804
gujarat,2019,4,porbandar district,40962,385502
gujarat,2019,4,gandhinagar district,408526,8201437
gujarat,2019,4,panch mahals district,115707,1726942
gujarat,2019,4,narmada district,28910,492480
gujarat,2019,4,gir somnath district,98982,1160727
gujarat,2019,4,valsad district,296977,4849239
gujarat,2019,4,mahisagar district,47237,629528
gujarat,2019,4,sabar kantha district,155618,2589322
gujarat,2019,4,tapi district,58115,863661
gujarat,2019,4,vadodara district,700817,11292180
gujarat,2019,4,banas kantha district,339582,5546860
gujarat,2019,4,amreli district,114242,1576597
gujarat,2019,4,ahmadabad district,2015947,37991904
gujarat,2019,4,dohad district,69618,957179
gujarat,2019,4,navsari district,131460,1723534
gujarat,2019,4,patan district,144779,2497573
gujarat,2019,4,kachchh district,314732,4871076
gujarat,2019,4,surendranagar district,138218,1846653
gujarat,2019,4,morbi district,115451,1504967
gujarat,2020,1,anand district,277835,4127652
gujarat,2020,1,jamnagar district,188224,2298804
gujarat,2020,1,devbhumi dwarka district,61293,730723
gujarat,2020,1,rajkot district,469636,5039899
gujarat,2020,1,aravallis district,94716,1602742
gujarat,2020,1,chhotaudepur district,36116,529547
gujarat,2020,1,botad district,88241,1198952
gujarat,2020,1,bharuch district,384819,6765391
gujarat,2020,1,bhavnagar district,315412,4262838
gujarat,2020,1,junagadh district,130231,1358193
gujarat,2020,1,mahesana district,349897,6028256
gujarat,2020,1,the dangs district,10877,181854
gujarat,2020,1,kheda district,204548,3047323
gujarat,2020,1,surat district,1772703,27362139
gujarat,2020,1,porbandar district,45383,444447
gujarat,2020,1,gandhinagar district,445290,8879457
gujarat,2020,1,panch mahals district,129831,1963840
gujarat,2020,1,narmada district,33074,595463
gujarat,2020,1,gir somnath district,110211,1337958
gujarat,2020,1,valsad district,330053,5604622
gujarat,2020,1,mahisagar district,54880,782289
gujarat,2020,1,sabar kantha district,174426,3030789
gujarat,2020,1,tapi district,65634,1036092
gujarat,2020,1,vadodara district,763969,12483845
gujarat,2020,1,banas kantha district,386212,7051669
gujarat,2020,1,amreli district,126423,1611436
gujarat,2020,1,ahmadabad district,2185983,40521157
gujarat,2020,1,dohad district,81529,1236284
gujarat,2020,1,navsari district,146018,1993140
gujarat,2020,1,patan district,164027,2890050
gujarat,2020,1,kachchh district,347270,5714637
gujarat,2020,1,surendranagar district,154610,2101503
gujarat,2020,1,morbi district,130472,1792131
gujarat,2020,2,anand district,307408,3806180
gujarat,2020,2,jamnagar district,208647,2264637
gujarat,2020,2,devbhumi dwarka district,69591,833260
gujarat,2020,2,rajkot district,522650,4850731
gujarat,2020,2,aravallis district,109491,2026596
gujarat,2020,2,chhotaudepur district,43696,767414
gujarat,2020,2,botad district,100129,1724159
gujarat,2020,2,bharuch district,423017,6655417
gujarat,2020,2,bhavnagar district,354301,5050744
gujarat,2020,2,junagadh district,147012,1678274
gujarat,2020,2,mahesana district,389562,6476731
gujarat,2020,2,the dangs district,12754,242151
gujarat,2020,2,kheda district,232123,3424229
gujarat,2020,2,surat district,1935894,21659619
gujarat,2020,2,porbandar district,50733,518063
gujarat,2020,2,gandhinagar district,488351,7343038
gujarat,2020,2,panch mahals district,148675,2136842
gujarat,2020,2,narmada district,39531,762775
gujarat,2020,2,gir somnath district,125777,1902233
gujarat,2020,2,valsad district,372771,5991227
gujarat,2020,2,mahisagar district,64428,1138847
gujarat,2020,2,sabar kantha district,196035,3368537
gujarat,2020,2,tapi district,76018,1298227
gujarat,2020,2,vadodara district,830759,10076172
gujarat,2020,2,banas kantha district,446603,8305317
gujarat,2020,2,amreli district,145486,2447389
gujarat,2020,2,ahmadabad district,2384154,31306891
gujarat,2020,2,dohad district,102250,1808011
gujarat,2020,2,navsari district,166398,2282454
gujarat,2020,2,patan district,185703,3289294
gujarat,2020,2,kachchh district,385480,5599740
gujarat,2020,2,surendranagar district,176758,2588128
gujarat,2020,2,morbi district,150472,1641032
gujarat,2020,3,anand district,336799,4331672
gujarat,2020,3,jamnagar district,227798,2485735
gujarat,2020,3,devbhumi dwarka district,76991,860629
gujarat,2020,3,rajkot district,573062,5528685
gujarat,2020,3,aravallis district,122687,2133497
gujarat,2020,3,chhotaudepur district,49929,741433
gujarat,2020,3,botad district,109438,1607234
gujarat,2020,3,bharuch district,462292,8024617
gujarat,2020,3,bhavnagar district,387781,5290196
gujarat,2020,3,junagadh district,163177,1718468
gujarat,2020,3,mahesana district,427950,7432916
gujarat,2020,3,the dangs district,14501,254123
gujarat,2020,3,kheda district,256968,3629599
gujarat,2020,3,surat district,2092712,23450291
gujarat,2020,3,porbandar district,56130,556557
gujarat,2020,3,gandhinagar district,529771,9721563
gujarat,2020,3,panch mahals district,165251,2379253
gujarat,2020,3,narmada district,44654,787689
gujarat,2020,3,gir somnath district,139141,1786233
gujarat,2020,3,valsad district,410740,6542204
gujarat,2020,3,mahisagar district,73191,1039369
gujarat,2020,3,sabar kantha district,218309,4022650
gujarat,2020,3,tapi district,84921,1370436
gujarat,2020,3,vadodara district,901492,13501217
gujarat,2020,3,banas kantha district,501471,9413818
gujarat,2020,3,amreli district,161288,2326604
gujarat,2020,3,ahmadabad district,2580178,43984650
gujarat,2020,3,dohad district,118431,1832118
gujarat,2020,3,navsari district,183779,2416323
gujarat,2020,3,patan district,206708,3658324
gujarat,2020,3,kachchh district,423729,6675502
gujarat,2020,3,surendranagar district,197594,2754011
gujarat,2020,3,morbi district,168984,2144856
gujarat,2020,4,anand district,367561,5362999
gujarat,2020,4,jamnagar district,248187,2953949
gujarat,2020,4,devbhumi dwarka district,84750,1018943
gujarat,2020,4,rajkot district,627654,6696956
gujarat,2020,4,aravallis district,135616,2560222
gujarat,2020,4,chhotaudepur district,56282,902789
gujarat,2020,4,botad district,117629,1521917
gujarat,2020,4,bharuch district,508005,10786740
gujarat,2020,4,bhavnagar district,419697,5661522
gujarat,2020,4,junagadh district,178595,1940195
gujarat,2020,4,mahesana district,464932,8801141
gujarat,2020,4,the dangs district,16317,322911
gujarat,2020,4,kheda district,282429,4361153
gujarat,2020,4,surat district,2278232,34575532
gujarat,2020,4,porbandar district,62166,676620
gujarat,2020,4,gandhinagar district,572461,11718890
gujarat,2020,4,panch mahals district,182696,2927538
gujarat,2020,4,narmada district,50130,992643
gujarat,2020,4,gir somnath district,152104,1987260
gujarat,2020,4,valsad district,452628,8644503
gujarat,2020,4,mahisagar district,81588,1232668
gujarat,2020,4,sabar kantha district,240357,4888877
gujarat,2020,4,tapi district,94476,1765259
gujarat,2020,4,vadodara district,980658,17540053
gujarat,2020,4,banas kantha district,551645,10634353
gujarat,2020,4,amreli district,176011,2282316
gujarat,2020,4,ahmadabad district,2787991,54175819
gujarat,2020,4,dohad district,132954,2063724
gujarat,2020,4,navsari district,201412,3007453
gujarat,2020,4,patan district,227441,4369785
gujarat,2020,4,kachchh district,466855,8257809
gujarat,2020,4,surendranagar district,216954,3173754
gujarat,2020,4,morbi district,188790,2691060
gujarat,2021,1,anand district,395164,5855859
gujarat,2021,1,jamnagar district,267315,3413685
gujarat,2021,1,devbhumi dwarka district,91653,1125352
gujarat,2021,1,rajkot district,677301,7803138
gujarat,2021,1,aravallis district,146811,2774336
gujarat,2021,1,chhotaudepur district,61097,970270
gujarat,2021,1,botad district,126302,1642524
gujarat,2021,1,bharuch district,548541,12399575
gujarat,2021,1,bhavnagar district,450462,5750612
gujarat,2021,1,junagadh district,192500,2001820
gujarat,2021,1,mahesana district,500511,9595361
gujarat,2021,1,the dangs district,17658,350858
gujarat,2021,1,kheda district,304909,4828751
gujarat,2021,1,surat district,2458596,41476549
gujarat,2021,1,porbandar district,67063,725183
gujarat,2021,1,gandhinagar district,615315,13654781
gujarat,2021,1,panch mahals district,197602,3236700
gujarat,2021,1,narmada district,54427,1070694
gujarat,2021,1,gir somnath district,163763,2007742
gujarat,2021,1,valsad district,489062,10057529
gujarat,2021,1,mahisagar district,88343,1262035
gujarat,2021,1,sabar kantha district,259578,5343748
gujarat,2021,1,tapi district,102144,1963282
gujarat,2021,1,vadodara district,1053954,20042908
gujarat,2021,1,banas kantha district,598384,12443664
gujarat,2021,1,amreli district,189252,2198433
gujarat,2021,1,ahmadabad district,2999575,63813424
gujarat,2021,1,dohad district,144445,2338472
gujarat,2021,1,navsari district,216841,3189672
gujarat,2021,1,patan district,246083,4877445
gujarat,2021,1,kachchh district,505517,9800171
gujarat,2021,1,surendranagar district,234429,3456434
gujarat,2021,1,morbi district,205529,3261867
gujarat,2021,2,anand district,422965,5154924
gujarat,2021,2,jamnagar district,287113,5057707
gujarat,2021,2,devbhumi dwarka district,98957,3134118
gujarat,2021,2,rajkot district,726817,9593985
gujarat,2021,2,aravallis district,158083,5332899
gujarat,2021,2,chhotaudepur district,66155,3188155
gujarat,2021,2,botad district,135845,3457428
gujarat,2021,2,bharuch district,588777,12729351
gujarat,2021,2,bhavnagar district,483224,7322593
gujarat,2021,2,junagadh district,207118,4070018
gujarat,2021,2,mahesana district,536645,9759520
gujarat,2021,2,the dangs district,19033,1976849
gujarat,2021,2,kheda district,327251,5529938
gujarat,2021,2,surat district,2633443,29247704
gujarat,2021,2,porbandar district,72172,1437404
gujarat,2021,2,gandhinagar district,658428,9936713
gujarat,2021,2,panch mahals district,212616,4678402
gujarat,2021,2,narmada district,58790,3238851
gujarat,2021,2,gir somnath district,176061,3419888
gujarat,2021,2,valsad district,524614,9184319
gujarat,2021,2,mahisagar district,95143,3203297
gujarat,2021,2,sabar kantha district,278539,7088156
gujarat,2021,2,tapi district,109719,4093925
gujarat,2021,2,vadodara district,1127636,15605412
gujarat,2021,2,banas kantha district,645073,18355543
gujarat,2021,2,amreli district,204136,5600950
gujarat,2021,2,ahmadabad district,3209841,43943326
gujarat,2021,2,dohad district,155988,5021344
gujarat,2021,2,navsari district,232448,4010253
gujarat,2021,2,patan district,265040,6916848
gujarat,2021,2,kachchh district,543585,17784778
gujarat,2021,2,surendranagar district,253097,8057144
gujarat,2021,2,morbi district,221629,5300801
gujarat,2021,3,anand district,454516,6900160
gujarat,2021,3,jamnagar district,309842,6879580
gujarat,2021,3,devbhumi dwarka district,107517,4310397
gujarat,2021,3,rajkot district,782611,13876245
gujarat,2021,3,aravallis district,171101,6762291
gujarat,2021,3,chhotaudepur district,72071,3853239
gujarat,2021,3,botad district,146842,4926482
gujarat,2021,3,bharuch district,634589,16949930
gujarat,2021,3,bhavnagar district,520764,9381379
gujarat,2021,3,junagadh district,223916,5211050
gujarat,2021,3,mahesana district,578072,12920050
gujarat,2021,3,the dangs district,20709,2684008
gujarat,2021,3,kheda district,352948,7212127
gujarat,2021,3,surat district,2830392,40635199
gujarat,2021,3,porbandar district,78063,1911079
gujarat,2021,3,gandhinagar district,706654,13323374
gujarat,2021,3,panch mahals district,229915,6133463
gujarat,2021,3,narmada district,63821,4425170
gujarat,2021,3,gir somnath district,190336,4151926
gujarat,2021,3,valsad district,565423,11974387
gujarat,2021,3,mahisagar district,103140,3964068
gujarat,2021,3,sabar kantha district,300258,9248561
gujarat,2021,3,tapi district,118730,5066590
gujarat,2021,3,vadodara district,1210266,20471153
gujarat,2021,3,banas kantha district,698841,25209534
gujarat,2021,3,amreli district,221334,7968878
gujarat,2021,3,ahmadabad district,3445024,59071276
gujarat,2021,3,dohad district,169037,6295402
gujarat,2021,3,navsari district,250233,5157919
gujarat,2021,3,patan district,287021,9346449
gujarat,2021,3,kachchh district,587589,25294185
gujarat,2021,3,surendranagar district,274891,10995970
gujarat,2021,3,morbi district,240295,7475630
gujarat,2021,4,anand district,485306,9981987
gujarat,2021,4,jamnagar district,331942,6896774
gujarat,2021,4,devbhumi dwarka district,115900,2359435
gujarat,2021,4,rajkot district,837869,15665197
gujarat,2021,4,aravallis district,183617,5917538
gujarat,2021,4,chhotaudepur district,77777,1850678
gujarat,2021,4,botad district,157462,4378199
gujarat,2021,4,bharuch district,679705,23721158
gujarat,2021,4,bhavnagar district,558013,10583117
gujarat,2021,4,junagadh district,240022,3983195
gujarat,2021,4,mahesana district,618376,18408357
gujarat,2021,4,the dangs district,22325,682005
gujarat,2021,4,kheda district,377827,8810443
gujarat,2021,4,surat district,3026960,70043416
gujarat,2021,4,porbandar district,83713,1326247
gujarat,2021,4,gandhinagar district,754369,23172671
gujarat,2021,4,panch mahals district,246694,6699089
gujarat,2021,4,narmada district,68577,2219237
gujarat,2021,4,gir somnath district,204170,4304710
gujarat,2021,4,valsad district,605655,20362236
gujarat,2021,4,mahisagar district,110939,2564905
gujarat,2021,4,sabar kantha district,321717,10478837
gujarat,2021,4,tapi district,127186,3764085
gujarat,2021,4,vadodara district,1292097,33004408
gujarat,2021,4,banas kantha district,751116,29341685
gujarat,2021,4,amreli district,237874,5251219
gujarat,2021,4,ahmadabad district,3679243,106054208
gujarat,2021,4,dohad district,181787,5398314
gujarat,2021,4,navsari district,267352,5803020
gujarat,2021,4,patan district,308499,9755228
gujarat,2021,4,kachchh district,630878,20539880
gujarat,2021,4,surendranagar district,295801,7294918
gujarat,2021,4,morbi district,258433,7229813
gujarat,2022,1,anand district,514400,7167547
gujarat,2022,1,jamnagar district,352844,11272088
gujarat,2022,1,devbhumi dwarka district,123599,10163939
gujarat,2022,1,rajkot district,889499,21835586
gujarat,2022,1,aravallis district,195778,13826407
gujarat,2022,1,chhotaudepur district,83102,9593557
gujarat,2022,1,botad district,167646,11054773
gujarat,2022,1,bharuch district,722367,22613416
gujarat,2022,1,bhavnagar district,593259,14665634
gujarat,2022,1,junagadh district,255421,10584411
gujarat,2022,1,mahesana district,656908,15122677
gujarat,2022,1,the dangs district,23744,5058807
gujarat,2022,1,kheda district,401982,10309975
gujarat,2022,1,surat district,3210535,25388620
gujarat,2022,1,porbandar district,89084,3467401
gujarat,2022,1,gandhinagar district,799301,9240181
gujarat,2022,1,panch mahals district,263066,11638061
gujarat,2022,1,narmada district,73152,10102922
gujarat,2022,1,gir somnath district,217816,7182103
gujarat,2022,1,valsad district,643742,11625495
gujarat,2022,1,mahisagar district,118430,8605093
gujarat,2022,1,sabar kantha district,342020,15498082
gujarat,2022,1,tapi district,135297,8491029
gujarat,2022,1,vadodara district,1368210,17275828
gujarat,2022,1,banas kantha district,802470,50103535
gujarat,2022,1,amreli district,253714,21192598
gujarat,2022,1,ahmadabad district,3897869,37428068
gujarat,2022,1,dohad district,194298,13091132
gujarat,2022,1,navsari district,283795,7740515
gujarat,2022,1,patan district,329312,17459087
gujarat,2022,1,kachchh district,671465,46433002
gujarat,2022,1,surendranagar district,315677,22854956
gujarat,2022,1,morbi district,275512,13690414
gujarat,2022,2,anand district,541890,7236033
gujarat,2022,2,jamnagar district,372354,12188995
gujarat,2022,2,devbhumi dwarka district,130591,13208562
gujarat,2022,2,rajkot district,937863,24500393
gujarat,2022,2,aravallis district,206898,17033575
gujarat,2022,2,chhotaudepur district,87903,11318925
gujarat,2022,2,botad district,177233,13628450
gujarat,2022,2,bharuch district,762752,24641932
gujarat,2022,2,bhavnagar district,626197,18525992
gujarat,2022,2,junagadh district,269699,12317381
gujarat,2022,2,mahesana district,692794,17872342
gujarat,2022,2,the dangs district,25026,6868251
gujarat,2022,2,kheda district,424243,11926637
gujarat,2022,2,surat district,3385398,25782369
gujarat,2022,2,porbandar district,93938,4290977
gujarat,2022,2,gandhinagar district,841732,8826550
gujarat,2022,2,panch mahals district,277783,13730984
gujarat,2022,2,narmada district,77313,12964941
gujarat,2022,2,gir somnath district,230290,9190564
gujarat,2022,2,valsad district,679340,13855143
gujarat,2022,2,mahisagar district,125105,10788262
gujarat,2022,2,sabar kantha district,360675,18555269
gujarat,2022,2,tapi district,142824,10380992
gujarat,2022,2,vadodara district,1440949,19565706
gujarat,2022,2,banas kantha district,849884,61411670
gujarat,2022,2,amreli district,268232,28086720
gujarat,2022,2,ahmadabad district,4105172,37385392
gujarat,2022,2,dohad district,205476,16850083
gujarat,2022,2,navsari district,299199,10087059
gujarat,2022,2,patan district,348256,20058579
gujarat,2022,2,kachchh district,709339,53661492
gujarat,2022,2,surendranagar district,333698,26953553
gujarat,2022,2,morbi district,291550,16249663
gujarat,2022,3,anand district,570211,7663778
gujarat,2022,3,jamnagar district,391677,15828687
gujarat,2022,3,devbhumi dwarka district,136943,15945131
gujarat,2022,3,rajkot district,986904,31404029
gujarat,2022,3,aravallis district,217755,19551310
gujarat,2022,3,chhotaudepur district,92089,13788338
gujarat,2022,3,botad district,186625,15729417
gujarat,2022,3,bharuch district,803845,24985089
gujarat,2022,3,bhavnagar district,659228,22529367
gujarat,2022,3,junagadh district,283145,13570972
gujarat,2022,3,mahesana district,729723,21478805
gujarat,2022,3,the dangs district,26180,8364976
gujarat,2022,3,kheda district,446779,13172712
gujarat,2022,3,surat district,3567767,25192019
gujarat,2022,3,porbandar district,98587,4938585
gujarat,2022,3,gandhinagar district,885535,9731484
gujarat,2022,3,panch mahals district,292755,16286040
gujarat,2022,3,narmada district,81169,12729908
gujarat,2022,3,gir somnath district,242764,10375694
gujarat,2022,3,valsad district,716467,15625470
gujarat,2022,3,mahisagar district,131554,12902389
gujarat,2022,3,sabar kantha district,379718,21747099
gujarat,2022,3,tapi district,149968,10482703
gujarat,2022,3,vadodara district,1515556,19765164
gujarat,2022,3,banas kantha district,896869,77028892
gujarat,2022,3,amreli district,281819,32567387
gujarat,2022,3,ahmadabad district,4319512,39280139
gujarat,2022,3,dohad district,216199,19811697
gujarat,2022,3,navsari district,314617,9787723
gujarat,2022,3,patan district,367059,22613364
gujarat,2022,3,kachchh district,747079,60380130
gujarat,2022,3,surendranagar district,351078,34325117
gujarat,2022,3,morbi district,307545,19538289
gujarat,2022,4,anand district,596600,13791621
gujarat,2022,4,jamnagar district,409567,11777204
gujarat,2022,4,devbhumi dwarka district,142445,4626888
gujarat,2022,4,rajkot district,1033159,27915336
gujarat,2022,4,aravallis district,227402,10450616
gujarat,2022,4,chhotaudepur district,95806,3500701
gujarat,2022,4,botad district,195219,8669321
gujarat,2022,4,bharuch district,842519,37564473
gujarat,2022,4,bhavnagar district,690130,18372408
gujarat,2022,4,junagadh district,294941,6587448
gujarat,2022,4,mahesana district,763693,29019487
gujarat,2022,4,the dangs district,27218,1087847
gujarat,2022,4,kheda district,467640,15216766
gujarat,2022,4,surat district,3747780,110323166
gujarat,2022,4,porbandar district,102643,2175841
gujarat,2022,4,gandhinagar district,927585,35387014
gujarat,2022,4,panch mahals district,306278,12634353
gujarat,2022,4,narmada district,84596,3758056
gujarat,2022,4,gir somnath district,254045,7658775
gujarat,2022,4,valsad district,751767,32968847
gujarat,2022,4,mahisagar district,137511,5028578
gujarat,2022,4,sabar kantha district,397066,17276367
gujarat,2022,4,tapi district,156189,6355677
gujarat,2022,4,vadodara district,1587831,48909823
gujarat,2022,4,banas kantha district,939693,54467383
gujarat,2022,4,amreli district,293382,9446129
gujarat,2022,4,ahmadabad district,4530853,157291084
gujarat,2022,4,dohad district,226068,11309950
gujarat,2022,4,navsari district,328740,8737777
gujarat,2022,4,patan district,384293,15704430
gujarat,2022,4,kachchh district,781383,35644500
gujarat,2022,4,surendranagar district,366161,13510037
gujarat,2022,4,morbi district,322150,13816692
haryana,2018,1,yamunanagar district,46198,0
haryana,2018,1,sonipat district,79638,0
haryana,2018,1,jind district,51815,0
haryana,2018,1,rohtak district,62452,0
haryana,2018,1,faridabad district,231504,0
haryana,2018,1,mahendragarh district,45460,0
haryana,2018,1,hisar district,113872,0
haryana,2018,1,karnal district,73612,0
haryana,2018,1,fatehabad district,48955,0
haryana,2018,1,palwal district,48774,0
haryana,2018,1,charkhi dadri district,14712,0
haryana,2018,1,ambala district,54127,0
haryana,2018,1,rewari district,85350,0
haryana,2018,1,panchkula district,41867,0
haryana,2018,1,bhiwani district,57585,0
haryana,2018,1,sirsa district,70800,0
haryana,2018,1,mewat district,29541,0
haryana,2018,1,panipat district,74739,0
haryana,2018,1,gurugram district,474081,0
haryana,2018,1,kaithal district,41222,0
haryana,2018,1,kurukshetra district,47932,0
haryana,2018,1,jhajjar district,53121,0
haryana,2018,2,yamunanagar district,62261,0
haryana,2018,2,sonipat district,106837,0
haryana,2018,2,jind district,68635,0
haryana,2018,2,rohtak district,82822,0
haryana,2018,2,faridabad district,306358,0
haryana,2018,2,mahendragarh district,60336,0
haryana,2018,2,hisar district,147599,0
haryana,2018,2,karnal district,98276,0
haryana,2018,2,fatehabad district,63066,0
haryana,2018,2,palwal district,64886,0
haryana,2018,2,charkhi dadri district,19559,0
haryana,2018,2,ambala district,73358,0
haryana,2018,2,rewari district,113056,0
haryana,2018,2,panchkula district,56729,0
haryana,2018,2,bhiwani district,75485,0
haryana,2018,2,sirsa district,91908,0
haryana,2018,2,mewat district,41358,0
haryana,2018,2,panipat district,101243,0
haryana,2018,2,gurugram district,621718,0
haryana,2018,2,kaithal district,55832,0
haryana,2018,2,kurukshetra district,64186,0
haryana,2018,2,jhajjar district,71713,0
haryana,2018,3,yamunanagar district,77303,0
haryana,2018,3,sonipat district,132705,0
haryana,2018,3,jind district,84500,0
haryana,2018,3,rohtak district,101649,0
haryana,2018,3,faridabad district,383316,0
haryana,2018,3,mahendragarh district,74545,0
haryana,2018,3,hisar district,176380,0
haryana,2018,3,karnal district,121471,0
haryana,2018,3,fatehabad district,75108,0
haryana,2018,3,palwal district,81688,0
haryana,2018,3,charkhi dadri district,24373,0
haryana,2018,3,ambala district,92472,0
haryana,2018,3,rewari district,138368,0
haryana,2018,3,panchkula district,71245,0
haryana,2018,3,bhiwani district,92291,0
haryana,2018,3,sirsa district,109165,0
haryana,2018,3,mewat district,53421,0
haryana,2018,3,panipat district,124290,0
haryana,2018,3,gurugram district,767369,0
haryana,2018,3,kaithal district,68422,0
haryana,2018,3,kurukshetra district,80097,0
haryana,2018,3,jhajjar district,90220,0
haryana,2018,4,yamunanagar district,94449,0
haryana,2018,4,sonipat district,165599,0
haryana,2018,4,jind district,103156,0
haryana,2018,4,rohtak district,124365,0
haryana,2018,4,faridabad district,521996,0
haryana,2018,4,mahendragarh district,91223,0
haryana,2018,4,hisar district,210671,0
haryana,2018,4,karnal district,149062,0
haryana,2018,4,fatehabad district,88259,0
haryana,2018,4,palwal district,113042,0
haryana,2018,4,charkhi dadri district,29865,0
haryana,2018,4,ambala district,114192,0
haryana,2018,4,rewari district,172035,0
haryana,2018,4,panchkula district,88703,0
haryana,2018,4,bhiwani district,111607,0
haryana,2018,4,sirsa district,127874,0
haryana,2018,4,mewat district,71400,0
haryana,2018,4,panipat district,153137,0
haryana,2018,4,gurugram district,967781,0
haryana,2018,4,kaithal district,82556,0
haryana,2018,4,kurukshetra district,97619,0
haryana,2018,4,jhajjar district,114488,0
haryana,2019,1,yamunanagar district,111935,0
haryana,2019,1,sonipat district,199593,0
haryana,2019,1,jind district,121923,0
haryana,2019,1,rohtak district,147392,0
haryana,2019,1,faridabad district,634024,0
haryana,2019,1,mahendragarh district,109746,0
haryana,2019,1,hisar district,245236,0
haryana,2019,1,karnal district,177042,0
haryana,2019,1,fatehabad district,101001,0
haryana,2019,1,palwal district,141953,0
haryana,2019,1,charkhi dadri district,35788,0
haryana,2019,1,ambala district,136012,0
haryana,2019,1,rewari district,207051,0
haryana,2019,1,panchkula district,105044,0
haryana,2019,1,bhiwani district,132014,0
haryana,2019,1,sirsa district,146936,0
haryana,2019,1,mewat district,92292,0
haryana,2019,1,panipat district,181548,0
haryana,2019,1,gurugram district,1159832,0
haryana,2019,1,kaithal district,97311,0
haryana,2019,1,kurukshetra district,115295,0
haryana,2019,1,jhajjar district,139799,0
haryana,2019,2,yamunanagar district,128212,541843
haryana,2019,2,sonipat district,230883,1176456
haryana,2019,2,jind district,138962,624097
haryana,2019,2,rohtak district,169372,827978
haryana,2019,2,faridabad district,716593,4975626
haryana,2019,2,mahendragarh district,127605,682663
haryana,2019,2,hisar district,277720,1298714
haryana,2019,2,karnal district,204255,977665
haryana,2019,2,fatehabad district,112543,417161
haryana,2019,2,palwal district,165665,1271969
haryana,2019,2,charkhi dadri district,42051,203007
haryana,2019,2,ambala district,157049,747656
haryana,2019,2,rewari district,238349,1505304
haryana,2019,2,panchkula district,120567,577037
haryana,2019,2,bhiwani district,151200,716927
haryana,2019,2,sirsa district,163468,625593
haryana,2019,2,mewat district,111194,822428
haryana,2019,2,panipat district,208172,984634
haryana,2019,2,gurugram district,1307319,10860136
haryana,2019,2,kaithal district,110900,506145
haryana,2019,2,kurukshetra district,132749,672331
haryana,2019,2,jhajjar district,163202,913825
haryana,2019,3,yamunanagar district,143922,1889582
haryana,2019,3,sonipat district,261554,4157560
haryana,2019,3,jind district,154136,2080553
haryana,2019,3,rohtak district,190137,2969017
haryana,2019,3,faridabad district,792884,18337601
haryana,2019,3,mahendragarh district,144934,2455148
haryana,2019,3,hisar district,308179,4755964
haryana,2019,3,karnal district,230603,3506469
haryana,2019,3,fatehabad district,124153,1474393
haryana,2019,3,palwal district,188217,4785385
haryana,2019,3,charkhi dadri district,47499,677064
haryana,2019,3,ambala district,176487,2649300
haryana,2019,3,rewari district,266893,5491022
haryana,2019,3,panchkula district,134405,2132209
