State,Year,Quarter,District,No_of_Regusers,No_of_AppOpen
uttar-pradesh,2021,1,bhadohi district,196533,3395245
uttar-pradesh,2021,1,pratapgarh district,316627,5871740
uttar-pradesh,2021,1,saharanpur district,505178,11541497
uttar-pradesh,2021,1,bara banki district,249182,4543982
uttar-pradesh,2021,1,bareilly district,662143,12240686
uttar-pradesh,2021,1,sitapur district,338854,4481686
uttar-pradesh,2021,1,sultanpur district,258614,4674936
uttar-pradesh,2021,1,agra district,974389,20226003
uttar-pradesh,2021,1,fatehpur district,193171,3064288
uttar-pradesh,2021,1,rae bareli district,226301,3836529
uttar-pradesh,2021,1,firozabad district,353729,6411184
uttar-pradesh,2021,1,kheri district,380108,4949153
uttar-pradesh,2021,1,gorakhpur district,780306,16582486
uttar-pradesh,2021,1,unnao district,251530,4064340
uttar-pradesh,2021,1,prayagraj district,1143612,25056524
uttar-pradesh,2021,1,sonbhadra district,234618,5684193
uttar-pradesh,2021,1,ghazipur district,443311,8162326
uttar-pradesh,2021,1,farrukhabad district,198513,3663937
uttar-pradesh,2021,1,kannauj district,169332,2859076
uttar-pradesh,2021,1,azamgarh district,501473,8619959
uttar-pradesh,2021,1,ayodhya district,320746,5978927
uttar-pradesh,2021,1,deoria district,424347,9305742
uttar-pradesh,2021,1,ghaziabad district,1773332,47857733
uttar-pradesh,2021,2,amethi district,226201,6879206
uttar-pradesh,2021,2,siddharthnagar district,229685,10226449
uttar-pradesh,2021,2,auraiya district,174601,4883091
uttar-pradesh,2021,2,sambhal district,187852,4498363
uttar-pradesh,2021,2,kanpur nagar district,1176708,16930729
uttar-pradesh,2021,2,aligarh district,631792,12930339
uttar-pradesh,2021,2,mahoba district,92930,4086641
uttar-pradesh,2021,2,lucknow district,1937173,24705951
uttar-pradesh,2021,2,sant kabeer nagar district,177099,4437809
uttar-pradesh,2021,2,hathras district,212672,4573599
uttar-pradesh,2021,2,budaun district,248263,7162914
uttar-pradesh,2021,2,moradabad district,428908,7369764
uttar-pradesh,2021,2,kushinagar district,470229,11818027
uttar-pradesh,2021,2,baghpat district,222933,5086018
uttar-pradesh,2021,2,shahjahanpur district,286698,7532278
uttar-pradesh,2021,2,muzaffarnagar district,415595,8851357
uttar-pradesh,2021,2,ambedkar nagar district,279018,5561355
uttar-pradesh,2021,2,bahraich district,209657,7655689
uttar-pradesh,2021,2,jalaun district,211288,8295744
uttar-pradesh,2021,2,rampur district,227310,5032841
uttar-pradesh,2021,2,ballia district,442509,9636727
uttar-pradesh,2021,2,shravasti district,53629,2659985
uttar-pradesh,2021,2,kasganj district,145326,3605119
uttar-pradesh,2021,2,varanasi district,1154661,12765198
